"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Invalid-300","0.13499","8,8","12,4"
"Valid-100","0.33527","8,4","8,4"
"Valid-100","0.32626","8,4","8,4"
"Valid-300","0.22825","4,4","4,4"
"Invalid-300","0.2389","12,4","4,0"
"Invalid-100","0.3261","12,12","12,0"
"Invalid-300","0.34962","12,0","4,4"
"Invalid-100","0.27837","4,0","12,12"
"Invalid-300","0.24132","12,4","8,12"
"Valid-100","0.3523","8,8","8,8"
"Invalid-100","0.36461","12,4","0,0"
"Invalid-300","0.20323","12,4","12,4"
"Valid-300","0.26037","4,12","4,12"
"Valid-100","0.36597","8,4","8,4"
"Invalid-100","0.27597","4,4","8,0"
"Invalid-300","0.25385","4,12","12,8"
"Invalid-100","0.27327","4,4","8,4"
"Valid-300","0.29328","12,8","12,8"
"Invalid-100","0.27579","8,12","4,0"
"Invalid-300","0.20971","8,0","8,0"
"Valid-300","0.24479","0,12","0,12"
"Invalid-100","0.35122","4,4","0,8"
"Invalid-100","0.33369","12,8","0,0"
"Invalid-100","0.3276","4,8","8,12"
"Invalid-100","0.34512","8,12","4,4"
"Valid-300","0.37801","4,0","4,0"
"Invalid-300","0.28278","12,0","4,4"
"Valid-100","0.36908","12,8","12,8"
"Valid-100","0.36812","0,12","0,12"
"Invalid-100","0.34127","0,4","4,12"
"Valid-300","0.36884","0,12","0,12"
"Valid-100","0.37639","0,8","0,8"
"Invalid-300","0.20467","8,8","12,0"
"Invalid-300","0.26571","8,12","8,12"
"Invalid-100","0.2902","4,0","4,4"
"Valid-100","0.28703","4,0","4,0"
"Valid-100","0.35524","12,4","12,4"
"Invalid-300","0.17012","4,4","4,4"
"Invalid-300","0.22942","8,8","12,4"
"Valid-100","0.28124","12,4","12,4"
"Invalid-300","0.20947","0,0","8,8"
"Valid-300","0.28297","4,0","4,0"
"Valid-300","0.2499","12,8","12,8"
"Invalid-100","0.31594","0,0","4,4"
"Valid-300","0.20861","12,0","12,0"
"Invalid-300","0.2238","8,4","4,8"
"Valid-300","0.21404","4,0","4,0"
"Valid-300","0.19443","0,4","0,4"
"Valid-300","0.28408","8,4","8,4"
"Invalid-300","0.13927","12,8","4,8"
"Invalid-100","0.34934","4,4","12,12"
"Invalid-100","0.30956","8,0","8,4"
"Invalid-300","0.1018","12,0","8,0"
"Invalid-100","0.36565","0,8","8,8"
"Valid-100","0.34192","4,0","4,0"
"Invalid-300","0.29265","0,0","0,12"
"Valid-100","0.36453","12,8","12,8"
"Valid-300","0.30851","8,4","8,4"
"Valid-300","0.2526","0,0","0,0"
"Valid-300","0.30303","0,8","0,8"
"Valid-100","0.36191","8,8","8,8"
"Valid-100","0.30144","0,12","0,12"
"Invalid-100","0.31319","0,12","12,8"
"Invalid-100","0.30834","8,8","12,8"
"Invalid-300","0.25333","0,8","0,8"
"Valid-100","0.36505","8,12","8,12"
"Valid-100","0.29129","8,12","8,12"
"Invalid-300","0.1696","12,12","12,4"
"Valid-300","0.17023","12,0","12,0"
"Valid-100","0.3603","4,12","4,12"
"Valid-300","0.10158","4,0","4,0"
"Valid-100","0.40292","12,12","12,12"
"Valid-300","0.27285","8,4","8,4"
"Invalid-300","0.2305","0,4","8,8"
"Invalid-300","0.27183","4,4","8,4"
